prot_id,degree_centrality,eigen_vector_centrality,close_centrality,harmonic_centrality,load_centrality,subgraph_centrality
10376.KR2_EBVB9,0.13043478260869565,0.22863388429213097,0.2071611253196931,5.666666666666666,0.03952569169960474,3.2336057409945727
9606.ENSP00000340330,0.08695652173913043,0.1500640956355556,0.17608695652173914,4.833333333333333,0.007905138339920948,2.3752399524643204
10376.RTA_EBVB9,0.2608695652173913,0.5741065215095268,0.2709030100334448,7.333333333333333,0.07707509881422925,7.763036724984507
9606.ENSP00000252996,0.043478260869565216,0.18598159962416336,0.16770186335403728,4.416666666666667,0.0,1.8686987419982268
9606.ENSP00000310127,0.17391304347826086,0.4816345845922391,0.25155279503105593,6.5,0.04545454545454545,5.738053200256493
9606.ENSP00000262105,0.043478260869565216,0.07406668444002613,0.1408695652173913,3.833333333333334,0.0,1.6465670196944422
9606.ENSP00000262238,0.08695652173913043,0.23459545629846448,0.2071611253196931,5.333333333333333,0.015810276679841896,2.603452235126829
9606.ENSP00000239938,0.08695652173913043,0.3420072587904339,0.1956521739130435,5.166666666666666,0.0,3.388170693633041
9606.ENSP00000345702,0.043478260869565216,0.18598159962416336,0.16770186335403728,4.416666666666667,0.0,1.8686987419982277
9606.ENSP00000369373,0.08695652173913043,0.3420072587904339,0.1956521739130435,5.166666666666666,0.0,3.38817069363304
10376.EBNA2_EBVB9,0.08695652173913043,9.537614547934233e-06,0.09782608695652173,2.5,0.007905138339920948,2.2272571623738293
9606.ENSP00000345206,0.08695652173913043,9.537614547934233e-06,0.09782608695652173,2.5,0.007905138339920948,2.227257162373831
10376.GL_EBVB9,0.043478260869565216,1.2713427551691393e-08,0.043478260869565216,1.0,0.0,1.5430806348152435
10376.GH_EBVB9,0.043478260869565216,1.2713427551691393e-08,0.043478260869565216,1.0,0.0,1.5430806348152435
10376.UL34_EBVB9,0.043478260869565216,1.2713427551691393e-08,0.043478260869565216,1.0,0.0,1.5430806348152435
10376.UL31_EBVB9,0.043478260869565216,1.2713427551691393e-08,0.043478260869565216,1.0,0.0,1.5430806348152435
10376.LMP1_EBVB9,0.043478260869565216,1.2713427551691393e-08,0.043478260869565216,1.0,0.0,1.5430806348152435
9606.ENSP00000362994,0.043478260869565216,1.2713427551691393e-08,0.043478260869565216,1.0,0.0,1.5430806348152435
10376.EBNA6_EBVB9,0.043478260869565216,5.894569962218819e-06,0.06521739130434782,1.8333333333333333,0.0,1.5906097564064616
10376.GM_EBVB9,0.043478260869565216,1.2713427551691393e-08,0.043478260869565216,1.0,0.0,1.5430806348152435
10376.GB_EBVB9,0.043478260869565216,1.2713427551691393e-08,0.043478260869565216,1.0,0.0,1.5430806348152435
10376.BMRF2_EBVB9,0.043478260869565216,1.2713427551691393e-08,0.043478260869565216,1.0,0.0,1.5430806348152435
10376.BDLF2_EBVB9,0.043478260869565216,1.2713427551691393e-08,0.043478260869565216,1.0,0.0,1.5430806348152435
10376.EBNA1_EBVB9,0.043478260869565216,5.894569962218819e-06,0.06521739130434782,1.8333333333333333,0.0,1.5906097564064623
